Source,Target,Relation
511,519,Posts
507,108,Posts
162,445,Posts
223,346,Posts
242,75,Posts
333,264,Posts
430,479,Posts
206,28,Posts
72,71,Posts
396,454,Posts
50,477,Posts
390,527,Posts
219,292,Posts
209,234,Posts
307,5,Posts
245,279,Posts
70,58,Posts
517,216,Posts
84,302,Posts
467,12,Posts
508,11,Posts
278,453,Posts
109,35,Posts
523,305,Posts
249,356,Posts
220,271,Posts
221,222,Posts
66,147,Posts
60,86,Posts
323,215,Posts
385,126,Posts
375,210,Posts
158,384,Posts
214,273,Posts
334,321,Posts
354,421,Posts
528,124,Posts
540,148,Posts
446,344,Posts
347,352,Posts
355,274,Posts
497,266,Posts
293,410,Posts
388,499,Posts
61,411,Posts
365,252,Posts
466,318,Posts
64,287,Posts
468,88,Posts
449,95,Posts
290,230,Posts
176,118,Posts
182,69,Posts
112,457,Posts
405,438,Posts
431,83,Posts
223,184,Posts
218,125,Posts
394,238,Posts
121,370,Posts
62,281,Posts
72,188,Posts
513,418,Posts
444,178,Posts
525,34,Posts
258,47,Posts
426,201,Posts
110,30,Posts
10,20,Posts
375,483,Posts
63,276,Posts
473,531,Posts
430,251,Posts
366,139,Posts
478,472,Posts
169,358,Posts
337,338,Posts
404,348,Posts
208,414,Posts
341,288,Posts
245,259,Posts
84,533,Posts
507,295,Posts
333,534,Posts
206,203,Posts
185,113,Posts
250,172,Posts
447,501,Posts
41,306,Posts
432,440,Posts
248,330,Posts
187,286,Posts
382,299,Posts
213,140,Posts
538,386,Posts
37,129,Posts
150,57,Posts
385,536,Posts
68,495,Posts
26,315,Posts
494,4,Posts
475,309,Posts
217,2,Posts
423,502,Posts
462,509,Posts
186,415,Posts
456,268,Posts
205,362,Posts
81,173,Posts
149,336,Posts
284,319,Posts
80,101,Posts
335,255,Posts
541,524,Posts
474,117,Posts
170,141,Posts
111,116,Posts
143,87,Posts
339,530,Posts
49,371,Posts
153,359,Posts
308,211,Posts
420,322,Posts
74,350,Posts
332,298,Posts
400,107,Posts
146,372,Posts
513,151,Posts
525,33,Posts
297,152,Posts
541,433,Posts
510,317,Posts
349,19,Posts
337,361,Posts
40,82,Posts
153,256,Posts
223,114,Posts
98,53,Posts
416,164,Posts
363,270,Posts
3,212,Posts
45,282,Posts
430,373,Posts
84,471,Posts
331,97,Posts
366,102,Posts
105,522,Posts
76,461,Posts
413,133,Posts
480,542,Posts
532,131,Posts
49,424,Posts
245,90,Posts
441,535,Posts
269,395,Posts
423,529,Posts
244,326,Posts
467,154,Posts
200,224,Posts
301,54,Posts
397,463,Posts
314,469,Posts
393,161,Posts
38,91,Posts
507,142,Posts
160,166,Posts
104,422,Posts
163,8,Posts
280,27,Posts
303,183,Posts
96,202,Posts
51,417,Posts
458,543,Posts
217,492,Posts
277,7,Posts
182,340,Posts
177,115,Posts
470,226,Posts
487,56,Posts
21,324,Posts
66,191,Posts
189,296,Posts
204,489,Posts
9,398,Posts
233,327,Posts
120,381,Posts
106,351,Posts
328,320,Posts
134,6,Posts
32,516,Posts
206,409,Posts
511,99,Posts
135,387,Posts
519,505,Tags
519,77,Tags
519,127,Tags
519,476,Tags
519,537,Tags
75,237,Tags
75,100,Tags
11,505,Tags
11,235,Tags
321,435,Tags
321,537,Tags
321,304,Tags
321,144,Tags
344,465,Tags
344,265,Tags
344,491,Tags
411,304,Tags
411,403,Tags
411,545,Tags
95,94,Tags
95,505,Tags
95,442,Tags
95,377,Tags
95,44,Tags
95,199,Tags
95,367,Tags
95,92,Tags
95,353,Tags
95,505,Tags
69,505,Tags
69,15,Tags
69,304,Tags
125,228,Tags
125,505,Tags
125,537,Tags
125,368,Tags
125,261,Tags
483,44,Tags
483,399,Tags
531,505,Tags
531,419,Tags
472,304,Tags
472,311,Tags
472,275,Tags
330,498,Tags
330,171,Tags
330,537,Tags
140,300,Tags
140,380,Tags
140,514,Tags
140,300,Tags
140,442,Tags
140,514,Tags
140,267,Tags
140,514,Tags
140,520,Tags
140,92,Tags
315,505,Tags
2,254,Tags
2,503,Tags
2,260,Tags
2,392,Tags
2,44,Tags
2,496,Tags
2,25,Tags
2,484,Tags
2,520,Tags
2,505,Tags
2,506,Tags
2,239,Tags
117,196,Tags
117,537,Tags
141,402,Tags
141,167,Tags
141,521,Tags
141,402,Tags
530,537,Tags
298,357,Tags
298,272,Tags
53,399,Tags
53,73,Tags
212,207,Tags
212,505,Tags
282,452,Tags
282,490,Tags
424,537,Tags
424,505,Tags
424,196,Tags
424,545,Tags
395,505,Tags
154,537,Tags
154,137,Tags
8,267,Tags
8,380,Tags
8,174,Tags
8,199,Tags
8,377,Tags
8,22,Tags
8,505,Tags
8,94,Tags
8,300,Tags
8,267,Tags
226,505,Tags
226,253,Tags
99,505,Tags
99,253,Tags
99,429,Tags
445,486,Mentions
264,481,Mentions
264,132,Mentions
479,198,Mentions
454,225,Mentions
527,360,Mentions
234,312,Mentions
234,408,Mentions
234,369,Mentions
234,43,Mentions
5,378,Mentions
5,29,Mentions
279,198,Mentions
58,23,Mentions
453,194,Mentions
147,181,Mentions
86,289,Mentions
86,229,Mentions
215,42,Mentions
215,493,Mentions
215,55,Mentions
215,448,Mentions
384,198,Mentions
273,482,Mentions
273,257,Mentions
273,229,Mentions
421,481,Mentions
148,85,Mentions
148,165,Mentions
148,412,Mentions
148,195,Mentions
148,55,Mentions
410,197,Mentions
410,36,Mentions
499,31,Mentions
252,544,Mentions
88,294,Mentions
88,16,Mentions
88,1,Mentions
69,128,Mentions
457,31,Mentions
438,198,Mentions
83,406,Mentions
184,198,Mentions
238,193,Mentions
281,376,Mentions
188,103,Mentions
188,246,Mentions
188,43,Mentions
418,488,Mentions
418,427,Mentions
418,500,Mentions
178,198,Mentions
30,263,Mentions
276,236,Mentions
251,401,Mentions
139,198,Mentions
414,89,Mentions
414,427,Mentions
414,500,Mentions
288,539,Mentions
288,1,Mentions
533,247,Mentions
295,450,Mentions
203,408,Mentions
203,343,Mentions
203,459,Mentions
203,145,Mentions
172,198,Mentions
306,316,Mentions
440,383,Mentions
330,198,Mentions
330,179,Mentions
330,325,Mentions
330,229,Mentions
330,55,Mentions
330,408,Mentions
129,481,Mentions
57,198,Mentions
495,312,Mentions
495,408,Mentions
495,369,Mentions
495,43,Mentions
315,1,Mentions
509,156,Mentions
415,232,Mentions
415,1,Mentions
268,428,Mentions
268,1,Mentions
173,17,Mentions
173,1,Mentions
336,407,Mentions
336,231,Mentions
336,159,Mentions
336,364,Mentions
336,190,Mentions
336,180,Mentions
336,13,Mentions
336,123,Mentions
101,16,Mentions
101,1,Mentions
117,229,Mentions
117,39,Mentions
141,546,Mentions
141,138,Mentions
141,455,Mentions
141,192,Mentions
141,59,Mentions
141,443,Mentions
141,157,Mentions
141,434,Mentions
141,175,Mentions
141,52,Mentions
141,122,Mentions
141,262,Mentions
141,48,Mentions
141,313,Mentions
116,512,Mentions
371,451,Mentions
371,345,Mentions
371,515,Mentions
359,500,Mentions
211,93,Mentions
107,427,Mentions
107,500,Mentions
372,119,Mentions
151,488,Mentions
151,500,Mentions
33,283,Mentions
152,488,Mentions
152,500,Mentions
433,512,Mentions
433,485,Mentions
433,518,Mentions
317,316,Mentions
19,18,Mentions
19,329,Mentions
361,198,Mentions
164,67,Mentions
270,391,Mentions
373,198,Mentions
97,342,Mentions
102,526,Mentions
102,24,Mentions
522,408,Mentions
522,55,Mentions
522,310,Mentions
522,343,Mentions
522,79,Mentions
133,46,Mentions
542,198,Mentions
131,389,Mentions
131,460,Mentions
131,504,Mentions
90,240,Mentions
90,329,Mentions
395,229,Mentions
463,425,Mentions
463,243,Mentions
463,59,Mentions
469,227,Mentions
469,448,Mentions
469,168,Mentions
469,55,Mentions
91,198,Mentions
142,198,Mentions
422,285,Mentions
422,379,Mentions
183,291,Mentions
183,198,Mentions
202,198,Mentions
417,374,Mentions
417,14,Mentions
417,481,Mentions
417,130,Mentions
543,229,Mentions
7,198,Mentions
56,78,Mentions
56,198,Mentions
324,136,Mentions
489,18,Mentions
489,329,Mentions
398,439,Mentions
381,464,Mentions
351,65,Mentions
320,241,Mentions
320,437,Mentions
320,192,Mentions
516,436,Mentions
516,155,Mentions
